date_rec|time_rec|username|n
2020-05-16|19:50:01|stopriots2020|13
2020-05-20|08:51:40|stopriots2020|13
2020-05-20|17:38:31|stopriots2020|13
2020-05-23|14:51:12|argonaaut_|13
2020-05-28|17:16:08|argonaaut_|13
2020-05-29|12:09:08|argonaaut_|13
2020-05-30|11:46:01|stopriots2020|13
2020-05-30|14:10:45|stopriots2020|13
2020-05-30|23:04:35|stopriots2020|13
2020-05-31|09:01:41|thehoganddice|13
2020-05-31|13:45:02|woodfieldingle|13
2020-05-31|14:06:46|jehanpatterson|13
2020-05-31|16:54:54|princesabresha|13
2020-05-31|20:09:16|chiassoso|13
2020-05-31|23:37:46|derekcressman|13
2020-05-31|23:53:57|harllls_|13
2020-06-01|10:02:58|dahkanii|13
2018-01-08|05:42:30|igvaultfifa19|12
2018-06-19|00:29:52|9999999999aggg|12
2019-03-03|16:07:29|hirakazumain|12
2020-03-22|15:27:45|argonaaut_|12
2020-05-07|03:37:56|argonaaut_|12
2020-05-13|13:24:56|argonaaut_|12
2020-05-16|06:40:05|argonaaut_|12
2020-05-18|00:48:04|blindingrep|12
2020-05-20|06:09:24|argonaaut_|12
2020-05-20|13:14:15|stopriots2020|12
2020-05-25|21:54:11|stopriots2020|12
2020-05-26|08:03:06|stopriots2020|12
2020-05-26|09:01:24|stopriots2020|12
2020-05-27|11:06:35|stopriots2020|12
2020-05-28|11:38:53|5kullfall|12
2020-05-29|12:59:31|argonaaut_|12
2020-05-29|13:19:32|stopriots2020|12
2020-05-29|14:10:41|stopriots2020|12
2020-05-31|03:04:18|jerricalong_|12
2020-05-31|10:47:19|finelinecth|12
2020-05-31|11:44:39|akkcrystal36|12
2020-05-31|13:34:15|argonaaut_|12
2020-05-31|13:58:17|joshcorrr|12
2020-05-31|14:53:11|argonaaut_|12
2020-05-31|15:51:47|drewisgooden|12
2020-05-31|17:59:13|jhanasoleil|12
2020-05-31|21:50:27|alantin17|12
2020-06-01|00:52:35|nxnilicious|12
2020-06-01|03:42:15|joselui07618797|12
2020-06-01|03:56:31|argonaaut_|12
2020-06-01|06:06:31|argonaaut_|12
2020-06-01|08:08:57|barbletingz|12
2020-06-01|08:22:55|diko_van|12
2020-06-01|08:55:02|diko_van|12
2020-06-01|09:16:11|argonaaut_|12
2020-06-01|09:17:09|argonaaut_|12
2020-06-01|10:06:43|argonaaut_|12
2018-09-21|13:31:57|watchgamestv|11
2020-03-31|07:56:56|argonaaut_|11
2020-04-12|18:14:19|blankspacebabyd|11
2020-04-15|16:50:47|argonaaut_|11
2020-04-21|03:31:10|argonaaut_|11
2020-05-03|14:28:58|argonaaut_|11
2020-05-10|02:45:24|argonaaut_|11
2020-05-10|09:35:39|argonaaut_|11
2020-05-10|11:41:00|argonaaut_|11
2020-05-17|15:59:13|argonaaut_|11
2020-05-19|02:43:59|argonaaut_|11
2020-05-20|02:20:07|argonaaut_|11
2020-05-27|10:30:45|stopriots2020|11
2020-05-29|14:57:25|purpleheartsjk_|11
2020-05-30|23:46:52|chrrysuh|11
2020-05-31|00:59:23|qasimabasir|11
2020-05-31|01:23:34|chrisklemens|11
2020-05-31|03:00:17|blmlouve|11
2020-05-31|14:53:27|the_rs3|11
2020-05-31|16:35:30|korndiddy|11
2020-05-31|21:36:18|jasmine4vel|11
2020-06-01|01:59:19|elijahdaniel|11
2020-06-01|03:44:39|thenumber7seven|11
2020-06-01|06:49:12|scottleffler|11
2020-06-01|07:06:31|santiagomayer_|11
2020-06-01|07:52:11|pb_harry|11
2020-06-01|09:21:35|sebsoteric|11
2020-06-01|09:31:30|chrisklemens|11
2020-06-01|13:11:55|harllls_|11
2015-09-08|10:32:11|diko_van|10
2018-07-28|14:34:27|watchgamestv|10
2018-07-28|15:39:00|watchgamestv|10
2018-08-10|12:28:27|lootvgo|10
2020-04-06|07:29:14|argonaaut_|10
2020-04-14|10:30:32|yelyahwilliams|10
2020-05-07|08:29:29|argonaaut_|10
2020-05-10|07:43:58|argonaaut_|10
2020-05-10|16:16:45|argonaaut_|10
2020-05-13|13:25:46|argonaaut_|10
2020-05-15|03:08:28|argonaaut_|10
2020-05-15|07:11:52|argonaaut_|10
2020-05-16|07:51:26|argonaaut_|10
2020-05-26|13:38:18|stopriots2020|10
2020-05-27|10:16:39|stopriots2020|10
2020-05-27|10:21:15|stopriots2020|10
2020-05-28|11:01:44|stopriots2020|10
2020-05-28|17:26:26|argonaaut_|10
2020-05-28|17:38:48|argonaaut_|10
2020-05-29|09:49:50|stopriots2020|10
2020-05-29|15:41:42|argonaaut_|10
2020-05-30|10:04:05|stopriots2020|10
2020-05-30|13:31:17|stopriots2020|10
2020-05-30|22:21:35|stopriots2020|10
2020-05-31|00:36:47|kabbalahnchill|10
2020-05-31|00:54:29|chrisklemens|10
2020-05-31|00:56:25|chrissyteigen|10
2020-05-31|03:11:38|blmlouve|10
2020-05-31|10:08:01|argonaaut_|10
2020-05-31|11:01:03|mreatyabooty|10
2020-05-31|12:10:24|argonaaut_|10
2020-05-31|12:16:59|argonaaut_|10
2020-05-31|12:30:01|mzgossipgirl|10
2020-05-31|12:46:36|astatesman|10
2020-05-31|13:12:35|zackbornstein|10
2020-05-31|14:51:34|argonaaut_|10
2020-05-31|16:11:34|stephaniekifner|10
2020-05-31|16:31:12|argonaaut_|10
2020-05-31|23:18:34|georgetakei|10
2020-06-01|00:44:28|christine72876|10
2020-06-01|01:30:22|elijahdaniel|10
2020-06-01|03:19:57|argonaaut_|10
2020-06-01|03:23:10|kehlani|10
2020-06-01|06:42:40|highnesspurple|10
2020-06-01|07:08:34|the_full_octave|10
2020-06-01|07:45:07|argonaaut_|10
2020-06-01|07:54:56|diko_van|10
2020-06-01|08:03:35|diko_van|10
2020-06-01|08:29:49|argonaaut_|10
2020-06-01|08:55:33|argonaaut_|10
2020-06-01|09:04:01|argonaaut_|10
2020-06-01|09:14:37|argonaaut_|10
2020-06-01|10:56:29|elijahdaniel|10
2020-06-01|12:16:47|jadenswife_|10
2020-06-01|12:16:56|juliadavisnews|10
2018-05-12|12:04:40|diko_van|9
2018-06-02|09:59:26|twinityth|9
2018-07-15|19:04:19|watchgamestv|9
2018-07-22|16:38:47|9999999999aggg|9
2018-07-23|10:29:56|9999999999aggg|9
2018-08-15|12:28:00|meelayyb|9
2018-09-02|11:58:00|vgotrading|9
2018-09-18|14:52:59|doomisgod|9
2018-09-20|13:49:39|allenaeroh|9
2019-09-17|13:24:51|meelayyb|9
2019-10-13|16:42:42|diko_van|9
2019-11-08|22:33:24|anddddink|9
2020-03-24|01:01:38|norisonsmiler|9
2020-05-06|13:00:39|argonaaut_|9
2020-05-07|09:50:44|stopriots2020|9
2020-05-10|02:58:18|argonaaut_|9
2020-05-10|02:59:22|argonaaut_|9
2020-05-15|01:39:07|argonaaut_|9
2020-05-15|13:15:22|argonaaut_|9
2020-05-16|09:37:49|argonaaut_|9
2020-05-16|11:59:20|pulte|9
2020-05-17|02:42:43|argonaaut_|9
2020-05-17|16:28:28|argonaaut_|9
2020-05-18|01:00:29|missamerichana|9
2020-05-18|04:06:47|argonaaut_|9
2020-05-19|02:54:00|argonaaut_|9
2020-05-19|06:31:09|argonaaut_|9
2020-05-22|11:30:39|argonaaut_|9
2020-05-23|09:49:34|stopriots2020|9
2020-05-25|13:59:48|stopriots2020|9
2020-05-26|11:55:23|stopriots2020|9
2020-05-26|14:09:48|stopriots2020|9
2020-05-27|13:28:35|stopriots2020|9
2020-05-29|03:03:18|argonaaut_|9
2020-05-30|03:23:58|argonaaut_|9
2020-05-31|01:24:24|chadloder|9
2020-05-31|07:56:38|harllls_|9
2020-05-31|15:52:08|prozd|9
2020-05-31|16:12:10|shestooprecious|9
2020-05-31|20:31:57|cinjimmm|9
2020-05-31|21:01:29|ari_cartier|9
2020-05-31|22:57:51|iandalon|9
2020-05-31|23:39:49|harllls_|9
2020-06-01|00:58:52|triviaotr|9
2020-06-01|04:51:11|mrslimpickens|9
2020-06-01|06:57:14|genz4changee|9
2020-06-01|07:27:19|the_full_octave|9
2020-06-01|08:20:07|harllls_|9
2020-06-01|09:28:13|dergin404|9
2020-06-01|09:36:35|chrisklemens|9
2020-06-01|12:00:13|angrierwhstaff|9
2020-06-01|13:04:23|davidcorndc|9
2020-06-01|13:06:37|emilyexplora|9
2018-07-09|07:48:41|9999999999aggg|8
2018-07-09|11:26:42|doomisgod|8
2018-07-10|13:16:03|doomisgod|8
2018-07-11|12:15:08|doomisgod|8
2018-07-12|14:53:29|9999999999aggg|8
2018-07-13|15:15:05|9999999999aggg|8
2018-08-02|12:18:42|mattseesass|8
2018-09-02|16:08:58|allenaeroh|8
2019-03-14|11:58:37|hirakazumain|8
2019-05-07|11:09:39|mrbeastyt|8
2019-11-03|12:37:26|ocelot_cloud|8
2020-01-04|01:23:53|argonaaut_|8
2020-01-04|10:42:56|pulte|8
2020-02-05|01:44:14|argonaaut_|8
2020-02-08|03:11:30|argonaaut_|8
2020-03-01|16:06:26|argonaaut_|8
2020-03-01|16:08:28|argonaaut_|8
2020-03-07|13:13:37|argonaaut_|8
2020-03-09|11:38:54|argonaaut_|8
2020-03-31|05:24:45|argonaaut_|8
2020-04-01|03:47:21|argonaaut_|8
2020-04-15|17:07:09|ts8_outsould|8
2020-04-18|17:21:53|tswiftnz|8
2020-04-20|12:01:56|argonaaut_|8
2020-04-21|08:29:48|argonaaut_|8
2020-04-21|15:54:48|argonaaut_|8
2020-04-23|02:34:22|argonaaut_|8
2020-04-23|10:23:24|argonaaut_|8
2020-04-24|03:54:33|argonaaut_|8
2020-04-27|02:14:46|argonaaut_|8
2020-05-12|21:33:00|stopriots2020|8
2020-05-13|12:04:55|argonaaut_|8
2020-05-13|12:08:01|argonaaut_|8
2020-05-15|13:03:50|argonaaut_|8
2020-05-15|15:02:35|argonaaut_|8
2020-05-15|15:06:58|argonaaut_|8
2020-05-16|14:14:12|argonaaut_|8
2020-05-16|16:24:37|argonaaut_|8
2020-05-23|15:44:34|argonaaut_|8
2020-05-25|19:42:31|stopriots2020|8
2020-05-27|09:04:20|stopriots2020|8
2020-05-27|10:22:41|stopriots2020|8
2020-05-27|16:41:47|argonaaut_|8
2020-05-28|12:24:46|stopriots2020|8
2020-05-29|02:58:57|argonaaut_|8
2020-05-29|09:39:54|stopriots2020|8
2020-05-29|13:21:51|stopriots2020|8
2020-05-29|15:31:39|aleximenez|8
2020-05-29|16:10:33|argonaaut_|8
2020-05-30|03:25:19|argonaaut_|8
2020-05-30|07:40:37|popcrayye13|8
2020-05-30|11:26:54|patoiogie|8
2020-05-31|09:40:44|argonaaut_|8
